Date,Menu Name,Qty,Price
2018-12-29 20:05:01,A8. GOLDEN PORK BELLY EGG,1,64000
,MAZEMEN MINCED PORK,1,55000
,JAPANESE OCHA,2,20000
2018-12-29 20:08:23,A8. GOLDEN PORK BELLY EGG,1,64000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,GYOZA CHICKEN,1,35000
,JAPANESE OCHA,3,20000
2018-12-29 20:14:21,C8. KURO PORK BELLY EGG,1,69000
,JAPANESE OCHA,2,20000
,CHICKEN CHARSIU,1,15000
2018-12-29 20:17:18,STEAMED RICE,1,15000
,GYOZA PORK,1,35000
,PORK KATSU,1,35000
,B8. TANTAN PORK BELLY EGG,1,69000
,C8. KURO PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
2018-12-29 20:25:22,B8. TANTAN PORK BELLY EGG,1,69000
,STEAMED RICE,1,15000
,PORK KATSU,1,35000
2018-12-29 20:30:05,A8. GOLDEN PORK BELLY EGG,1,64000
2018-12-29 20:30:36,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,2,20000
,NOODLE,1,15000
2018-12-29 20:37:08,A8. GOLDEN PORK BELLY EGG,2,64000
,JAPANESE OCHA,3,20000
2018-12-29 20:45:14,B8. TANTAN PORK BELLY EGG,1,69000
,PICKLED CUCUMBER,1,5000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,GYOZA PORK,1,35000
,JAPANESE OCHA,1,20000
2018-12-29 20:59:39,B1. TANTAN CHICKEN CHARSIU,1,60000
,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,JAPANESE OCHA,2,20000
,GYOZA PORK,1,35000
2018-12-29 21:10:20,A8. GOLDEN PORK BELLY EGG,1,64000
,B8. TANTAN PORK BELLY EGG,1,69000
,GYOZA PORK,1,35000
,JAPANESE OCHA,2,20000
2018-12-29 21:14:03,GYOZA PORK,1,35000
,B8. TANTAN PORK BELLY EGG,1,69000
,SEASONED EGG,1,10000
,ZENZAI,1,30000
,JAPANESE OCHA,2,20000
2018-12-29 21:22:36,C8. KURO PORK BELLY EGG,1,69000
,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,GYOZA CHICKEN,1,35000
,MINERAL WATER,1,10000
,JAPANESE OCHA,1,20000
2018-12-29 22:31:57,PORK SHABU CURRY,1,55000
,STAMINA DON,1,68000
,CHICKEN KARAAGE,1,37000
,STEAMED RICE,1,15000
,A8. GOLDEN PORK BELLY EGG,1,64000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,B1. TANTAN CHICKEN CHARSIU,1,60000
,JAPANESE OCHA,4,20000
2018-12-29 22:45:20,C8. KURO PORK BELLY EGG,1,69000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
,MINERAL WATER,1,10000
2018-12-29 23:35:59,B8. TANTAN PORK BELLY EGG,1,69000
,MINERAL WATER,1,10000
2018-12-29 23:42:42,PORK KATSUDON,1,49000
,SEAWEED.,1,10000
,JAPANESE OCHA,2,20000
,C10. KURO MEGA PORK BELLY EGG,1,84000
,C10. KURO MEGA PORK BELLY EGG,1,84000
,D1. CURRY CHICKEN CHARSIU,1,60000
,MINERAL WATER,1,10000
,FLAN PUDDING,1,25000
,JAPANESE OCHA,1,20000
2018-12-29 23:43:59,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,GYOZA PORK,1,35000
,B4. TANTAN QUARTER CHICKEN EGG,1,70000
,SOYA MILK,2,20000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,JAPANESE OCHA,1,20000
,B5. TANTAN CHICKEN KARAAGE,1,67000
,JAPANESE OCHA,1,20000
2018-12-30 12:00:31,B8. TANTAN PORK BELLY EGG,1,69000
2018-12-30 12:20:48,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,A9. GOLDEN MEGA PORK BELLY,1,71000
2018-12-30 12:43:10,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,JAPANESE OCHA,1,20000
2018-12-30 12:48:29,B8. TANTAN PORK BELLY EGG,3,69000
,C8. KURO PORK BELLY EGG,2,69000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,6,20000
2018-12-30 12:54:44,C4. KURO QUARTER CHICKEN EGG,1,70000
,JAPANESE OCHA,2,20000
2018-12-30 12:55:03,A8. GOLDEN PORK BELLY EGG,1,64000
2018-12-30 12:55:54,D6. CURRY CHICKEN KARAAGE EGG,1,75000
,TARO MILK TEA,1,25000
,SOYA MILK,1,20000
2018-12-30 12:56:20,C2. KURO CHICKEN CHARSIU EGG,1,68000
2018-12-30 13:05:12,B10. TANTAN MEGA PORK BELLY EGG,1,84000
,SOYA MILK,1,20000
2018-12-30 13:05:34,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
2018-12-30 13:23:08,A8. GOLDEN PORK BELLY EGG,1,64000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,B8. TANTAN PORK BELLY EGG,1,69000
,GYOZA PORK,1,35000
,JAPANESE OCHA,3,20000
2018-12-30 13:47:53,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
,JAPANESE OCHA,2,20000
,GYOZA PORK,1,35000
,D2. CURRY CHICKEN CHARSIU EGG,1,68000
,C6. KURO CHICKEN KARAAGE EGG,1,75000
,STAMINA DON,1,68000
,CHICKEN KARAAGE,3,37000
,JAPANESE OCHA,3,20000
,MINERAL WATER,2,10000
,C10. KURO MEGA PORK BELLY EGG,1,84000
,GYOZA PORK,1,35000
,A8. GOLDEN PORK BELLY EGG,1,64000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
,OGURA ICE CREAM,1,18000
,STAMINA DON,1,68000
,GYOZA CHICKEN,2,35000
,D10. CURRY MEGA PORK BELLY EGG,2,84000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,FLAN PUDDING,1,25000
,JAPANESE OCHA,3,20000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
2018-12-30 13:49:12,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,1,20000
,A8. GOLDEN PORK BELLY EGG,1,64000
2018-12-30 13:50:20,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
,JAPANESE OCHA,1,20000
2018-12-30 13:51:09,C8. KURO PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
2018-12-30 13:52:16,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
2018-12-30 13:55:29,PORK KATSU CURRY,1,55000
2018-12-30 14:28:56,B10. TANTAN MEGA PORK BELLY EGG,1,84000
,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,JAPANESE OCHA,2,20000
,GYOZA PORK,1,35000
2018-12-30 15:08:09,STAMINA DON,1,68000
2018-12-30 15:17:35,STAMINA DON,1,68000
2018-12-30 15:17:58,B8. TANTAN PORK BELLY EGG,1,69000
,MINERAL WATER,1,10000
2018-12-30 15:39:09,CHICKEN KATSU CURRY,1,47000
2018-12-30 15:40:08,BUTADON,1,50000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
2018-12-30 15:41:42,SOYA MILK,1,20000
2018-12-30 15:42:02,B8. TANTAN PORK BELLY EGG,1,69000
,C8. KURO PORK BELLY EGG,1,69000
,CHICKEN NANBAN,1,35000
,TORIPAITAN SOUP,1,15000
2018-12-30 15:49:01,C7. KURO PORK BELLY,1,61000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,JAPANESE OCHA,2,20000
,NOODLE,1,15000
2018-12-30 16:01:25,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
,PORK SOBORO,1,10000
,JAPANESE OCHA,1,20000
,C2. KURO CHICKEN CHARSIU EGG,1,68000
,PORK BELLY.,1,15000
,JAPANESE OCHA,1,20000
,SEAWEED.,1,10000
2018-12-30 16:20:20,A8. GOLDEN PORK BELLY EGG,1,64000
,B8. TANTAN PORK BELLY EGG,1,69000
,COKE SODA,1,15000
2018-12-30 16:27:59,B8. TANTAN PORK BELLY EGG,1,69000
,CHICKEN TERIYAKI DON,1,35000
,JAPANESE OCHA,1,20000
2018-12-30 16:47:22,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
2018-12-30 16:48:38,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
,JAPANESE OCHA,1,20000
2018-12-30 16:49:07,B8. TANTAN PORK BELLY EGG,1,69000
2018-12-30 16:50:50,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,JAPANESE OCHA,1,20000
,PORK SHABU CURRY,1,0
2018-12-30 16:51:07,PORK SHABU CURRY,1,55000
2018-12-30 16:52:01,D6. CURRY CHICKEN KARAAGE EGG,1,75000
,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,2,20000
2018-12-30 17:10:16,A8. GOLDEN PORK BELLY EGG,1,64000
,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,B8. TANTAN PORK BELLY EGG,1,69000
,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,4,20000
,C4. KURO QUARTER CHICKEN EGG,1,70000
2018-12-30 17:15:45,B10. TANTAN MEGA PORK BELLY EGG,1,84000
,JAPANESE OCHA,3,20000
,B8. TANTAN PORK BELLY EGG,1,69000
,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE SPINACH,1,10000
,SEASONED EGG,1,10000
2018-12-30 17:33:33,B10. TANTAN MEGA PORK BELLY EGG,1,84000
,CHOPPED CHILI,1,0
,TORIPAITAN SOUP,1,15000
,PORK KATSU CURRY,1,55000
,GYOZA PORK,1,35000
,JAPANESE OCHA,1,20000
,SOYA MILK,1,20000
2018-12-30 18:15:10,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,JAPANESE OCHA,1,20000
2018-12-30 18:15:36,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
2018-12-30 19:14:42,CHICKEN KATSUDON,1,45000
,SEAWEED.,2,10000
,JAPANESE OCHA,2,20000
,A1. GOLDEN CHICKEN CHARSIU,1,55000
,SEASONED EGG,1,10000
,CHICKEN KARAAGE,1,37000
2018-12-30 19:18:59,A8. GOLDEN PORK BELLY EGG,1,64000
,OYAKODON.,1,40000
,TORI SOBORO DON,1,25000
,JAPANESE OCHA,1,20000
,MINERAL WATER,1,10000
,BUTADON,1,50000
,FLAN PUDDING,1,25000
,KAKIGORI,1,30000
2018-12-30 19:33:02,B7. TANTAN PORK BELLY,2,61000
,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,BALI HAI BEER,1,25000
,SPRITE SODA,1,15000
2018-12-30 19:49:20,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
2018-12-30 19:50:19,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,CHICKEN KARAAGE,1,37000
,ZENZAI,1,30000
,JAPANESE OCHA,1,20000
2018-12-30 20:05:29,GYOZA PORK,1,35000
,B8. TANTAN PORK BELLY EGG,1,69000
,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,A7. GOLDEN PORK BELLY,1,56000
,JAPANESE OCHA,2,20000
,C8. KURO PORK BELLY EGG,1,69000
,GYOZA PORK,1,35000
,CHICKEN KARAAGE,1,37000
2018-12-30 20:11:47,B8. TANTAN PORK BELLY EGG,1,69000
2018-12-30 20:13:11,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
,CHOPPED CHILI,1,0
,GYOZA PORK,1,35000
,COKE SODA,1,15000
,SPRITE SODA,1,15000
2018-12-30 20:14:48,B7. TANTAN PORK BELLY,1,61000
,C7. KURO PORK BELLY,1,61000
,JAPANESE OCHA,1,20000
,SOYA MILK,1,20000
,GYOZA PORK,1,35000
2018-12-30 20:33:32,D3. CURRY QUARTER CHICKEN,1,62000
,MINERAL WATER,1,10000
2018-12-30 20:35:47,A1. GOLDEN CHICKEN CHARSIU,1,55000
,MINERAL WATER,1,10000
2018-12-30 20:36:28,C1. KURO CHICKEN CHARSIU,1,60000
,MINERAL WATER,1,10000
2018-12-30 20:38:22,C1. KURO CHICKEN CHARSIU,1,60000
,JAPANESE OCHA,1,20000
2018-12-30 20:39:06,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,1,20000
2018-12-30 20:39:41,D8. CURRY PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
2018-12-30 20:47:01,B7. TANTAN PORK BELLY,1,61000
,JAPANESE OCHA,1,20000
2018-12-30 20:59:20,B9. TANTAN MEGA PORK BELLY,1,76000
,JAPANESE OCHA,1,20000
2018-12-30 20:59:49,B9. TANTAN MEGA PORK BELLY,1,76000
2018-12-30 21:06:00,A1. GOLDEN CHICKEN CHARSIU,1,55000
,QUARTER CHICKEN.,1,30000
,B9. TANTAN MEGA PORK BELLY,1,76000
,JAPANESE OCHA,1,20000
,JAPANESE OCHA,1,20000
2018-12-30 21:54:21,A7. GOLDEN PORK BELLY,2,56000
,GYOZA PORK,1,35000
,PORK SOBORO,1,10000
,JAPANESE OCHA,1,20000
,MINERAL WATER,1,10000
2018-12-31 12:51:26,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
2018-12-31 13:09:21,B8. TANTAN PORK BELLY EGG,1,69000
,C8. KURO PORK BELLY EGG,1,69000
,CHICKEN KATSU CURRY,1,47000
,GYOZA PORK,1,35000
,JAPANESE OCHA,1,20000
2018-12-31 13:25:40,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
,A2. GOLDEN CHICKEN CHARSIU EGG,2,63000
,GYOZA PORK,1,35000
,JAPANESE OCHA,2,20000
2018-12-31 13:31:32,A1. GOLDEN CHICKEN CHARSIU,1,55000
,B7. TANTAN PORK BELLY,1,61000
,JAPANESE OCHA,1,20000
,PORK CHAHAN,1,38000
2018-12-31 13:44:37,A8. GOLDEN PORK BELLY EGG,1,64000
,B1. TANTAN CHICKEN CHARSIU,1,60000
,GYOZA PORK,1,35000
,JAPANESE OCHA,2,20000
2018-12-31 13:46:56,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,JAPANESE OCHA,1,20000
,JAPANESE OCHA,1,20000
,GYOZA PORK,1,35000
2018-12-31 14:24:09,C8. KURO PORK BELLY EGG,1,69000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
,JAPANESE OCHA,1,20000
,GYOZA PORK,1,35000
2018-12-31 14:36:57,B8. TANTAN PORK BELLY EGG,1,69000
,GYOZA PORK,2,35000
,JAPANESE OCHA,2,20000
,C4. KURO QUARTER CHICKEN EGG,1,70000
,CHICKEN CHARSIU,1,15000
2018-12-31 14:45:19,GYOZA PORK,1,35000
,BUTADON,1,50000
,JAPANESE OCHA,1,20000
2018-12-31 15:04:18,C2. KURO CHICKEN CHARSIU EGG,1,68000
,CHICKEN KARAAGE,1,37000
,JAPANESE OCHA,1,20000
2018-12-31 15:10:27,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,JAPANESE OCHA,1,20000
2018-12-31 15:14:41,C2. KURO CHICKEN CHARSIU EGG,1,68000
,QUARTER CHICKEN.,1,30000
,MINERAL WATER,1,10000
2018-12-31 15:54:03,JAPANESE OCHA,2,20000
,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,C8. KURO PORK BELLY EGG,1,69000
2018-12-31 16:05:38,B8. TANTAN PORK BELLY EGG,1,69000
,B2. TANTAN CHICKEN CHARSIU EGG,2,68000
2018-12-31 16:06:38,C8. KURO PORK BELLY EGG,1,69000
,C4. KURO QUARTER CHICKEN EGG,1,70000
,C8. KURO PORK BELLY EGG,1,69000
2018-12-31 16:07:30,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,B4. TANTAN QUARTER CHICKEN EGG,1,70000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
2018-12-31 16:07:57,SOYA MILK,1,20000
,MINERAL WATER,2,10000
2018-12-31 17:38:32,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,BAMBOO SHOOT,1,15000
2018-12-31 17:46:51,D2. CURRY CHICKEN CHARSIU EGG,1,68000
,BAMBOO SHOOT,1,15000
,JAPANESE OCHA,2,20000
,CHICKEN KATSU CURRY,1,47000
,D1. CURRY CHICKEN CHARSIU,1,60000
,OGURA ICE CREAM,1,18000
2018-12-31 18:15:29,A1. GOLDEN CHICKEN CHARSIU,1,55000
,A8. GOLDEN PORK BELLY EGG,1,64000
,OYAKODON.,1,40000
2018-12-31 18:31:04,A7. GOLDEN PORK BELLY,1,56000
2018-12-31 18:32:27,BUTADON,1,50000
2018-12-31 19:26:53,A8. GOLDEN PORK BELLY EGG,1,64000
,B5. TANTAN CHICKEN KARAAGE,1,67000
,JAPANESE OCHA,1,20000
,GYOZA PORK,1,35000
2018-12-31 19:34:33,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,5,20000
,A7. GOLDEN PORK BELLY,1,56000
,CHICKEN KARAAGE,1,37000
,C10. KURO MEGA PORK BELLY EGG,1,84000
,A8. GOLDEN PORK BELLY EGG,1,64000
,CHICKEN NANBAN,1,35000
,GYOZA PORK,1,35000
,GYOZA CHICKEN,1,35000
,FRIED GARLIC,1,5000
2018-12-31 19:41:50,B7. TANTAN PORK BELLY,1,61000
,SEASONED EGG,1,10000
,MAZEMEN MINCED CHICKEN,1,52000
,JAPANESE OCHA,2,20000
2018-12-31 19:59:03,B6. TANTAN CHICKEN KARAAGE EGG,1,75000
,C8. KURO PORK BELLY EGG,1,69000
,JAPANESE OCHA,2,20000
,GYOZA PORK,1,35000
2018-12-31 20:00:30,B8. TANTAN PORK BELLY EGG,2,69000
,C8. KURO PORK BELLY EGG,1,69000
,MINERAL WATER,1,10000
,JAPANESE OCHA,2,20000
,JAPANESE OCHA,1,20000
,C7. KURO PORK BELLY,1,61000
,OGURA ICE CREAM,2,18000
2018-12-31 20:23:18,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,B8. TANTAN PORK BELLY EGG,1,69000
,CHICKEN KARAAGE,2,37000
,C4. KURO QUARTER CHICKEN EGG,1,70000
,GYOZA PORK,1,35000
,JAPANESE OCHA,1,20000
,JAPANESE OCHA,2,20000
,MATCHA ICE CREAM,3,20000
,A7. GOLDEN PORK BELLY,1,56000
2018-12-31 20:57:26,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,JAPANESE OCHA,1,20000
,MINERAL WATER,1,10000
,MAZEMEN MINCED CHICKEN,1,52000
2018-12-31 21:10:54,A8. GOLDEN PORK BELLY EGG,1,64000
,MINERAL WATER,1,10000
,GYOZA PORK,1,35000
2018-12-31 21:49:41,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
2019-01-01 11:38:08,A8. GOLDEN PORK BELLY EGG,1,64000
2019-01-01 12:12:51,MAZEMEN MINCED PORK+PORK BELLY,1,75000
,JAPANESE OCHA,2,20000
,GYOZA CHICKEN,1,35000
,CHICKEN KATSUDON,1,45000
2019-01-01 13:15:20,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
,SEAWEED.,1,10000
,JAPANESE OCHA,2,20000
2019-01-01 13:36:10,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,SEASONED EGG,1,10000
,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,B8. TANTAN PORK BELLY EGG,1,69000
,JAPANESE OCHA,3,20000
,CHICKEN TERIYAKI DON,1,35000
2019-01-01 14:36:28,TORI SOBORO DON,1,25000
,PORK KATSUDON,1,49000
2019-01-01 15:50:38,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,JAPANESE OCHA,2,20000
2019-01-01 15:58:40,JAPANESE OCHA,2,20000
,C4. KURO QUARTER CHICKEN EGG,1,70000
,SPRING ONIONS,1,7000
,CHOPPED CHILI,1,0
,A3. GOLDEN QUARTER CHICKEN.,1,57000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,0
2019-01-01 16:21:17,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
,B4. TANTAN QUARTER CHICKEN EGG,1,70000
,CHICKEN KARAAGE,1,37000
,MAZEMEN MINCED CHICKEN,1,52000
,C4. KURO QUARTER CHICKEN EGG,1,70000
,JAPANESE OCHA,3,20000
2019-01-01 16:28:57,B7. TANTAN PORK BELLY,1,61000
,C8. KURO PORK BELLY EGG,1,69000
,JAPANESE OCHA,2,20000
2019-01-01 17:52:57,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
,STAMINA DON,1,68000
,JAPANESE OCHA,1,20000
2019-01-01 18:03:42,OYAKODON.,1,40000
,MINERAL WATER,1,10000
2019-01-01 18:04:59,CHICKEN KATSU,1,31000
,STEAMED RICE,1,15000
,MINERAL WATER,1,10000
2019-01-01 18:07:56,A4. GOLDEN QUARTER CHICKEN EGG,1,65000
,JAPANESE OCHA,1,20000
2019-01-01 18:09:08,A8. GOLDEN PORK BELLY EGG,1,64000
,JAPANESE OCHA,1,20000
,MATCHA ICE CREAM,1,20000
2019-01-01 18:10:13,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,JAPANESE OCHA,1,20000
2019-01-01 18:11:15,CHICKEN NANBAN,1,35000
,JAPANESE OCHA,1,20000
2019-01-01 18:24:15,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,B2. TANTAN CHICKEN CHARSIU EGG,1,68000
,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,C2. KURO CHICKEN CHARSIU EGG,1,68000
,JAPANESE OCHA,1,20000
2019-01-01 18:59:18,BUTADON,1,50000
,C7. KURO PORK BELLY,1,61000
,POACHED EGG,1,10000
,MINERAL WATER,2,10000
,OGURA ICE CREAM,1,18000
2019-01-01 19:13:21,A1. GOLDEN CHICKEN CHARSIU,1,55000
,A1. GOLDEN CHICKEN CHARSIU,1,55000
,A2. GOLDEN CHICKEN CHARSIU EGG,1,63000
,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,A7. GOLDEN PORK BELLY,1,56000
,A7. GOLDEN PORK BELLY,1,56000
,B8. TANTAN PORK BELLY EGG,1,69000
,C5. KURO CHICKEN KARAAGE,1,67000
,GYOZA PORK,1,35000
,SOYA MILK,1,20000
,JAPANESE OCHA,1,20000
,BINTANG BEER,1,30000
2019-01-01 19:27:45,C8. KURO PORK BELLY EGG,1,69000
,JAPANESE OCHA,1,20000
,PORK BELLY.,1,15000
2019-01-01 19:34:43,JAPANESE OCHA,1,20000
,B1. TANTAN CHICKEN CHARSIU,1,60000
,B7. TANTAN PORK BELLY,1,61000
2019-01-01 20:06:45,CHICKEN KATSU,1,31000
,JAPANESE SPINACH,1,10000
,CHOPPED CHILI,1,0
,C9. KURO MEGA PORK BELLY,1,76000
,SEASONED EGG,1,10000
,JAPANESE OCHA,3,20000
,PORK KATSU CURRY,1,55000
,MINERAL WATER,1,10000
2019-01-01 20:34:44,A8. GOLDEN PORK BELLY EGG,1,64000
,A6. GOLDEN CHICKEN KARAAGE EGG,1,70000
,A10. GOLDEN MEGA PORK BELLY EGG,1,80000
,GYOZA PORK,1,35000
